Date,Open,High,Low,Close,Volume,RSI,ATR,EMA_slow,EMA_fast,BBL_15_1.5,BBM_15_1.5,BBU_15_1.5,BBB_15_1.5,BBP_15_1.5,EMASignal,TechnicalSignal,LSTMsignal,TotalSignal,pointpos
2024-05-30 18:00:00+02:00,523.72,524.21,523.69,524.17,2613.92,55.19686069418551,0.38556622027364196,525.6161447159416,524.1983142671955,523.2874916463112,523.7646666666667,524.2418416870222,0.18220970245752977,0.9247218693795837,1,0,0,0,0.0
2024-05-30 18:05:00+02:00,524.18,524.38,524.03,524.12,2330.56,53.870196607949566,0.380485331663125,525.5865180879032,524.1932617338282,523.322439970311,523.8053333333334,524.2882266963557,0.18437894091276877,0.8258138242957407,1,0,0,0,0.0
2024-05-30 18:10:00+02:00,524.13,524.26,524.07,524.25,796.19,56.86525096442511,0.3532731414255273,525.5600523831922,524.1969222671296,523.3793105122444,523.8613333333334,524.3433561544224,0.18402687521214403,0.903162101110191,1,0,0,0,0.0
2024-05-30 18:15:00+02:00,524.26,524.44,524.24,524.37,1868.62,59.55832111239156,0.33137697836474417,525.5364869894656,524.2080885724761,523.5286185924613,523.9446666666666,524.360714740872,0.15881374529576706,1.0111588776678178,1,1,2,0,518.9976
2024-05-30 18:20:00+02:00,524.38,524.54,524.14,524.38,1959.33,59.79076729619213,0.34118026716977745,525.513586257001,524.2191796323164,523.5957096664201,524.0026666666666,524.4096236669131,0.15532630886605173,0.9636034434900873,1,0,0,0,0.0
2024-05-30 18:25:00+02:00,524.37,524.4,523.98,524.04,1346.23,49.124190621498826,0.35244022900266053,525.4844063311198,524.2076196560379,523.7215096302673,524.046,524.3704903697328,0.12384041467075685,0.4907547333299491,1,0,0,0,0.0
2024-05-30 18:30:00+02:00,524.04,524.44,523.94,524.44,1861.98,58.74490082758869,0.37352019628799477,525.4637250176322,524.2226119362936,523.7382189793473,524.0846666666667,524.4311143539862,0.13221057945579373,1.0128239361078908,1,1,0,0,0.0
2024-05-30 18:35:00+02:00,524.43,524.58,524.34,524.42,1224.61,58.13416313836444,0.3544458825325682,525.443057195501,524.235346650081,523.7941194930808,524.1306666666667,524.4672138402526,0.12842109610806746,0.9298555388987721,1,0,0,0,0.0
2024-05-30 18:40:00+02:00,524.42,524.45,524.29,524.36,1186.07,56.18701388013453,0.32666789931364154,525.4216105183623,524.2433888016888,523.8195092319598,524.158,524.4964907680402,0.12915600564721852,0.7983833224899413,1,0,0,0,0.0
2024-05-30 18:45:00+02:00,524.36,524.6,524.28,524.33,1931.16,55.16059587334911,0.32571534226884274,525.3999944684937,524.2489766209346,523.8195092319598,524.158,524.4964907680402,0.12915600564721852,0.7540689676647423,1,0,0,0,0.0
2024-05-30 18:50:00+02:00,524.33,524.72,524.24,524.53,2040.98,60.50497149028786,0.34775600765901066,525.3827668552562,524.2671071615196,523.8210013697995,524.186,524.5509986302005,0.13926302121784598,0.9712346451971374,1,0,0,0,0.0
2024-05-30 18:55:00+02:00,524.53,524.67,524.45,524.67,2062.85,63.8556523349953,0.32950514942199677,525.3686526601026,524.2931002478732,523.8405231899491,524.234,524.627476810051,0.15011495250249698,1.0540351919893873,1,1,1,1,529.9167
2024-05-30 19:00:00+02:00,524.67,525.0,524.5,524.6,3504.41,60.981459259546185,0.3538615566474258,525.3534318153481,524.3129002318814,523.8980282593368,524.2833333333333,524.6686384073298,0.1469835295151498,0.9109297904932231,1,0,1,1,530.25
2024-05-30 19:05:00+02:00,524.59,524.93,524.58,524.78,1927.2,65.42755348050372,0.3533099056977806,525.3420767298957,524.3430357007923,523.9547006292748,524.3439999999999,524.733299370725,0.1484900640514998,1.059980355462628,1,1,2,0,519.3342
